scheme,view,features,model,control,folds,balanced_accuracy,balanced_accuracy_sd,above_chance,macro_f1,ece,nll,chance,n_test
cross_lab_allen_to_ibl,5class,bandpower_full,logreg,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857172984021428,0.0730566764327659,1.3134649977402404,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,geometry,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.0697769744078259,1.3140417442072103,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,geometry,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.0697769744078259,1.3140417442072103,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,geometry,logreg,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.09066141642857203,1.312523268699278,0.29761904761904756,132600
cross_lab_ibl_to_allen,4class,geometry,logreg,model,10,0.6282849063489543,0.14388959438809173,0.269951573015621,0.6221826530304739,0.2626444600280317,2.1127820861988584,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,amplitude,logreg,model,10,0.5093868138178254,0.11403926029448375,0.15105348048449202,0.44546690859683186,0.18134899677633737,0.9235503217670754,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,bandpower_full,logreg,model,10,0.4601359435674081,0.11077414967366771,0.1018026102340748,0.4729609097501709,0.11789899166491627,1.2246893606111349,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,bandpower_clean,logreg,model,10,0.366012698301509,0.1156830901743839,0.007679364968175717,0.36123912537544695,0.1317172148582168,1.331973878213772,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,amplitude,constant,model,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10843724098360155,1.2308247401550818,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,amplitude,constant,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10843724098360155,1.2308247401550818,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,amplitude,logreg,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10935293214110837,1.2333844196308599,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,bandpower_clean,constant,model,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10843724098360155,1.2308247401550818,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,bandpower_clean,constant,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10843724098360155,1.2308247401550818,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,bandpower_clean,logreg,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10860746444883893,1.2321476928953032,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,bandpower_full,constant,model,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10843724098360155,1.2308247401550818,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,bandpower_full,constant,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10843724098360155,1.2308247401550818,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,geometry,constant,model,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10843724098360155,1.2308247401550818,0.3583333333333333,49800
