scheme,fold,view,features,model,control,seed,n_train,n_test,chance,noise_band,balanced_accuracy,accuracy,macro_f1,nll,brier,ece,ece_adaptive,classes_present,above_chance,recall_CA1,recall_DG,recall_VIS,recall_CA3,recall_CA2,draws,balanced_accuracy_max_draw
loso_allen,719161530_probeA,5class,amplitude,constant,permuted,0,35500,5200,0.3333333333333333,0.02154269734821195,0.33333333333333326,0.4423076923076923,0.20444444444444443,1.2080748800870256,0.6650515007706042,0.005579631635969695,0.005579631635969695,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
loso_allen,719161530_probeB,5class,amplitude,constant,model,0,35000,5400,0.3333333333333333,0.02076286784374165,0.3333333333333333,0.4074074074074074,0.1929824561403509,1.1868925345599373,0.6727794406651549,0.052592592592592635,0.052592592592592635,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,1.0,0.3333333333333333
loso_allen,719161530_probeB,5class,amplitude,constant,permuted,0,35000,5400,0.3333333333333333,0.02076286784374165,0.33333333333333326,0.4074074074074074,0.1929824561403509,1.1868925345599373,0.6727794406651549,0.052592592592592635,0.052592592592592635,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
loso_allen,719161530_probeC,5class,amplitude,constant,model,0,36400,2900,0.5,0.03254617099987719,0.5,0.7586206896551724,0.43137254901960786,1.0682744654937073,0.5869834977451499,0.32455475558923813,0.32455475558923813,DG|VIS,0.0,,0.0,1.0,,,1.0,0.5
loso_allen,719161530_probeC,5class,amplitude,constant,permuted,0,36400,2900,0.5,0.03254617099987719,0.5,0.7586206896551724,0.43137254901960786,1.0682744654937073,0.5869834977451499,0.32455475558923813,0.32455475558923813,DG|VIS,0.0,,0.0,1.0,,,20.0,0.5
loso_allen,719161530_probeF,5class,amplitude,constant,model,0,36800,4100,0.3333333333333333,0.029950940277884627,0.3333333333333333,0.4878048780487805,0.2185792349726776,1.040028457961628,0.6072144866061135,0.047587486744432805,0.047587486744432805,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,1.0,0.3333333333333333
loso_allen,719161530_probeF,5class,amplitude,constant,permuted,0,36800,4100,0.3333333333333333,0.029950940277884627,0.33333333333333326,0.4878048780487805,0.2185792349726776,1.040028457961628,0.6072144866061135,0.047587486744432805,0.047587486744432805,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
loso_allen,798911424_probeA,5class,amplitude,constant,model,0,32800,5300,0.3333333333333333,0.022039637339010088,0.3333333333333333,0.4528301886792453,0.20779220779220778,1.089858947604099,0.6434971743010113,0.022779567418315716,0.022779567418315716,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,1.0,0.3333333333333333
loso_allen,798911424_probeA,5class,amplitude,constant,permuted,0,32800,5300,0.3333333333333333,0.022039637339010088,0.33333333333333326,0.4528301886792453,0.20779220779220778,1.089858947604099,0.6434971743010113,0.022779567418315716,0.022779567418315716,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
loso_allen,798911424_probeB,5class,amplitude,constant,model,0,36200,5700,0.3333333333333333,0.019989599196949003,0.3333333333333333,0.38596491228070173,0.18565400843881855,1.2712824678244141,0.7007813633776147,0.05878646893476791,0.05878646893476791,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,1.0,0.3333333333333333
loso_allen,798911424_probeB,5class,amplitude,constant,permuted,0,36200,5700,0.3333333333333333,0.019989599196949003,0.33333333333333326,0.38596491228070173,0.18565400843881855,1.2712824678244141,0.7007813633776147,0.05878646893476791,0.05878646893476791,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
loso_allen,798911424_probeC,5class,amplitude,constant,model,0,37800,3800,0.5,0.024891067019943206,0.5,0.6052631578947368,0.3770491803278688,1.2229074901444617,0.677410752041774,0.18727373990531893,0.18727373990531893,DG|VIS,0.0,,0.0,1.0,,,1.0,0.5
loso_allen,798911424_probeC,5class,amplitude,constant,permuted,0,37800,3800,0.5,0.024891067019943206,0.5,0.6052631578947368,0.3770491803278688,1.2229074901444617,0.677410752041774,0.18727373990531893,0.18727373990531893,DG|VIS,0.0,,0.0,1.0,,,20.0,0.5
loso_allen,798911424_probeD,5class,amplitude,constant,model,0,33100,5700,0.25,0.03312182495668888,0.25,0.42105263157894735,0.14814814814814814,1.3329826603814563,0.6782497357476257,0.05326761011289566,0.05326761011289566,CA1|CA2|CA3|VIS,0.0,0.0,,1.0,0.0,0.0,1.0,0.25
loso_allen,798911424_probeD,5class,amplitude,constant,permuted,0,33100,5700,0.25,0.03312182495668888,0.25,0.42105263157894735,0.14814814814814814,1.3329826603814563,0.6782497357476257,0.05326761011289566,0.05326761011289566,CA1|CA2|CA3|VIS,0.0,0.0,,1.0,0.0,0.0,20.0,0.25
loso_allen,798911424_probeE,5class,amplitude,constant,model,0,32400,6400,0.25,0.030142859224741154,0.25,0.359375,0.13218390804597702,9.73287498519043,0.848984529797287,0.12210648148148151,0.12210648148148151,CA1|CA2|CA3|VIS,0.0,0.0,,1.0,0.0,0.0,1.0,0.25
loso_allen,798911424_probeE,5class,amplitude,constant,permuted,0,32400,6400,0.25,0.030142859224741154,0.25,0.359375,0.13218390804597702,9.73287498519043,0.848984529797287,0.12210648148148151,0.12210648148148151,CA1|CA2|CA3|VIS,0.0,0.0,,1.0,0.0,0.0,20.0,0.25
loso_allen,798911424_probeF,5class,amplitude,constant,model,0,34700,5700,0.25,0.021875,0.25,0.42105263157894735,0.14814814814814814,1.374900678072146,0.7173302456117038,0.037160624905202555,0.037160624905202555,CA1|CA3|DG|VIS,0.0,0.0,0.0,1.0,0.0,,1.0,0.25
loso_allen,798911424_probeF,5class,amplitude,constant,permuted,0,34700,5700,0.25,0.021875,0.25,0.42105263157894735,0.14814814814814814,1.374900678072146,0.7173302456117038,0.037160624905202555,0.037160624905202555,CA1|CA3|DG|VIS,0.0,0.0,0.0,1.0,0.0,,20.0,0.25
