scheme,fold,half_width_um,position,w2v2_frozen,position+w2v2_frozen,chance
loso_allen,719161530_probeF,100.0,0.33333333333333337,0.767264705882353,0.7358039215686275,0.3333333333333333
loso_allen,719161530_probeF,200.0,0.33333333333333337,0.767264705882353,0.7453333333333333,0.3333333333333333
loso_allen,719161530_probeF,400.0,0.33333333333333337,0.767264705882353,0.7578460784313725,0.3333333333333333
loso_allen,719161530_probeF,800.0,0.34725490196078435,0.767264705882353,0.7544676470588236,0.3333333333333333
loso_allen,719161530_probeF,1600.0,0.46754901960784306,0.767264705882353,0.7718754901960785,0.3333333333333333
loso_allen,798911424_probeA,0.0,0.8114035087719298,0.7011154970760233,0.7387704678362573,0.3333333333333333
loso_allen,798911424_probeA,100.0,0.8201023391812866,0.7011154970760233,0.7375059941520468,0.3333333333333333
loso_allen,798911424_probeA,200.0,0.8780701754385964,0.7011154970760233,0.738563596491228,0.3333333333333333
loso_allen,798911424_probeA,400.0,0.8023391812865496,0.7011154970760233,0.7331874269005848,0.3333333333333333
loso_allen,798911424_probeA,800.0,0.5949853801169591,0.7011154970760233,0.7215826023391813,0.3333333333333333
loso_allen,798911424_probeA,1600.0,0.45593567251461986,0.7011154970760233,0.711388888888889,0.3333333333333333
loso_allen,798911424_probeB,0.0,0.8431372549019608,0.7369578134284017,0.7959724697959992,0.3333333333333333
loso_allen,798911424_probeB,100.0,0.8242721330956625,0.7369578134284017,0.7963775995246584,0.3333333333333333
loso_allen,798911424_probeB,200.0,0.7949593979005745,0.7369578134284017,0.7961826104179045,0.3333333333333333
loso_allen,798911424_probeB,400.0,0.8021093285799168,0.7369578134284017,0.7827211328976035,0.3333333333333333
loso_allen,798911424_probeB,800.0,0.6226579520697167,0.7369578134284017,0.7609193899782136,0.3333333333333333
loso_allen,798911424_probeB,1600.0,0.4246187363834423,0.7369578134284017,0.7590966528025351,0.3333333333333333
loso_allen,798911424_probeC,0.0,0.717391304347826,0.6657246376811594,0.6344927536231884,0.5
loso_allen,798911424_probeC,100.0,0.691304347826087,0.6657246376811594,0.6308434782608695,0.5
loso_allen,798911424_probeC,200.0,0.708695652173913,0.6657246376811594,0.651723188405797,0.5
loso_allen,798911424_probeC,400.0,0.6791304347826086,0.6657246376811594,0.6290521739130435,0.5
loso_allen,798911424_probeC,800.0,0.4078260869565217,0.6657246376811594,0.6010376811594202,0.5
loso_allen,798911424_probeC,1600.0,0.6065217391304347,0.6657246376811594,0.6834782608695652,0.5
loso_allen,798911424_probeD,0.0,0.1217948717948718,0.5311367521367522,0.593982905982906,0.3333333333333333
loso_allen,798911424_probeD,100.0,0.13632478632478634,0.5311367521367522,0.5952384615384615,0.3333333333333333
loso_allen,798911424_probeD,200.0,0.10117521367521368,0.5311367521367522,0.5921051282051282,0.3333333333333333
loso_allen,798911424_probeD,400.0,0.14647435897435895,0.5311367521367522,0.5859553418803418,0.3333333333333333
loso_allen,798911424_probeD,800.0,0.26367521367521374,0.5311367521367522,0.5767634615384616,0.3333333333333333
loso_allen,798911424_probeD,1600.0,0.10683760683760683,0.5311367521367522,0.5600705128205128,0.3333333333333333
loso_allen,798911424_probeE,0.0,0.6333333333333333,0.5333478260869565,0.5549927536231883,0.3333333333333333
loso_allen,798911424_probeE,100.0,0.6183333333333334,0.5333478260869565,0.5539101449275362,0.3333333333333333
loso_allen,798911424_probeE,200.0,0.6206521739130435,0.5333478260869565,0.5549224637681158,0.3333333333333333
loso_allen,798911424_probeE,400.0,0.5478260869565219,0.5333478260869565,0.5506485507246377,0.3333333333333333
loso_allen,798911424_probeE,800.0,0.4294927536231884,0.5333478260869565,0.5503746376811594,0.3333333333333333
loso_allen,798911424_probeE,1600.0,0.28731884057971013,0.5333478260869565,0.537927536231884,0.3333333333333333
loso_allen,798911424_probeF,0.0,0.421875,0.5815798611111112,0.5765972222222222,0.25
loso_allen,798911424_probeF,100.0,0.4328125,0.5815798611111112,0.5814097222222222,0.25
loso_allen,798911424_probeF,200.0,0.4375,0.5815798611111112,0.5818229166666666,0.25
loso_allen,798911424_probeF,400.0,0.4197916666666666,0.5815798611111112,0.567861111111111,0.25
loso_allen,798911424_probeF,800.0,0.5223958333333333,0.5815798611111112,0.599109375,0.25
loso_allen,798911424_probeF,1600.0,0.3921875,0.5815798611111112,0.5858732638888889,0.25
loso_ibl,0802ced5_probe00,0.0,0.48917828319882617,0.5783204551012695,0.6264006314057671,0.25
loso_ibl,0802ced5_probe00,100.0,0.5219002201027145,0.5783204551012695,0.6374381389092688,0.25
