scheme,fold,source,n_test,balanced_accuracy,raw_accuracy,majority,chance,ece
loso_allen,798911424_probeD,bandpower_full,5500,0.41455128205128206,0.5556363636363636,0.4727272727272727,0.3333333333333333,0.11713603462536107
loso_allen,798911424_probeD,w2v2_frozen,5500,0.5365491452991453,0.7065454545454546,0.4727272727272727,0.3333333333333333,0.13911041695082801
loso_allen,798911424_probeD,position+bandpower_full,5500,0.5482393162393162,0.5949090909090909,0.4727272727272727,0.3333333333333333,0.12614327287147417
loso_allen,798911424_probeD,position+w2v2_frozen,5500,0.5980320512820513,0.7667272727272727,0.4727272727272727,0.3333333333333333,0.10180409284735673
loso_allen,798911424_probeE,position,6200,0.6333333333333333,0.6612903225806451,0.3709677419354839,0.3333333333333333,0.25108644142766096
loso_allen,798911424_probeE,bandpower_full,6200,0.5136521739130435,0.5414516129032259,0.3709677419354839,0.3333333333333333,0.19038228742653082
loso_allen,798911424_probeE,w2v2_frozen,6200,0.5394057971014493,0.567741935483871,0.3709677419354839,0.3333333333333333,0.30388875247390157
loso_allen,798911424_probeE,position+bandpower_full,6200,0.5439420289855073,0.5717741935483871,0.3709677419354839,0.3333333333333333,0.24101545050056516
loso_allen,798911424_probeE,position+w2v2_frozen,6200,0.557659420289855,0.5862903225806452,0.3709677419354839,0.3333333333333333,0.3098693948814691
loso_allen,798911424_probeF,position,5700,0.421875,0.5964912280701754,0.42105263157894735,0.25,0.20154177073315913
loso_allen,798911424_probeF,bandpower_full,5700,0.44296875,0.5664912280701755,0.42105263157894735,0.25,0.09929821014089185
loso_allen,798911424_probeF,w2v2_frozen,5700,0.5769444444444445,0.6940350877192982,0.42105263157894735,0.25,0.16623587217936028
loso_allen,798911424_probeF,position+bandpower_full,5700,0.47359375000000004,0.6349122807017544,0.42105263157894735,0.25,0.20550439023686262
loso_allen,798911424_probeF,position+w2v2_frozen,5700,0.5725,0.7091228070175438,0.42105263157894735,0.25,0.19975143101305537
loso_ibl,0802ced5_probe00,position,21500,0.48917828319882617,0.5255813953488372,0.4372093023255814,0.25,0.3466765368225317
loso_ibl,0802ced5_probe00,bandpower_full,21500,0.35290021454456527,0.46506976744186046,0.4372093023255814,0.25,0.07351113107597171
loso_ibl,0802ced5_probe00,w2v2_frozen,21500,0.576072867338091,0.7089767441860465,0.4372093023255814,0.25,0.1923020393120382
loso_ibl,0802ced5_probe00,position+bandpower_full,21500,0.4891868038417928,0.5234883720930232,0.4372093023255814,0.25,0.3745994201395454
loso_ibl,0802ced5_probe00,position+w2v2_frozen,21500,0.6271623424264657,0.7187441860465116,0.4372093023255814,0.25,0.2385706241294212
loso_ibl,0802ced5_probe01,position,18300,0.8452173913043478,0.8415300546448088,0.3770491803278688,0.3333333333333333,0.060671866675285825
loso_ibl,0802ced5_probe01,bandpower_full,18300,0.36664227053140097,0.36038251366120216,0.3770491803278688,0.3333333333333333,0.16483905815500294
loso_ibl,0802ced5_probe01,w2v2_frozen,18300,0.7465911231884058,0.7339344262295082,0.3770491803278688,0.3333333333333333,0.1456256279686915
loso_ibl,0802ced5_probe01,position+bandpower_full,18300,0.7721661835748792,0.7512568306010929,0.3770491803278688,0.3333333333333333,0.11370292352220548
loso_ibl,0802ced5_probe01,position+w2v2_frozen,18300,0.811428925120773,0.7945901639344263,0.3770491803278688,0.3333333333333333,0.14156730333674897
loso_ibl,0a018f12_probe00,position,18000,0.8822344322344322,0.8777777777777778,0.3611111111111111,0.3333333333333333,0.04692995636112738
loso_ibl,0a018f12_probe00,bandpower_full,18000,0.5713983361271496,0.5634444444444444,0.3611111111111111,0.3333333333333333,0.06877137999385209
loso_ibl,0a018f12_probe00,w2v2_frozen,18000,0.7318735487676166,0.7333888888888889,0.3611111111111111,0.3333333333333333,0.1134587562499631
loso_ibl,0a018f12_probe00,position+bandpower_full,18000,0.8692316849816849,0.8611111111111112,0.3611111111111111,0.3333333333333333,0.05796730994957241
loso_ibl,0a018f12_probe00,position+w2v2_frozen,18000,0.9131383559942882,0.9100555555555555,0.3611111111111111,0.3333333333333333,0.025858470756611834
loso_ibl,3638d102_probe01,position,18700,0.8222222222222223,0.8021390374331551,0.40106951871657753,0.3333333333333333,0.08126374875909034
loso_ibl,3638d102_probe01,bandpower_full,18700,0.35865663082437277,0.37518716577540107,0.40106951871657753,0.3333333333333333,0.13903348215634695
loso_ibl,3638d102_probe01,w2v2_frozen,18700,0.7585856630824374,0.7598395721925134,0.40106951871657753,0.3333333333333333,0.10588836861938683
loso_ibl,3638d102_probe01,position+bandpower_full,18700,0.8268523297491038,0.8086096256684492,0.40106951871657753,0.3333333333333333,0.05082318646159383
loso_ibl,3638d102_probe01,position+w2v2_frozen,18700,0.8630931899641577,0.8580213903743316,0.40106951871657753,0.3333333333333333,0.06369357776848926
loso_ibl,54238fd6_probe00,position,17700,0.6736111111111112,0.8305084745762712,0.4180790960451977,0.25,0.11895728070507092
loso_ibl,54238fd6_probe00,bandpower_full,17700,0.3685082533191086,0.4835593220338983,0.4180790960451977,0.25,0.10377819566787364
loso_ibl,54238fd6_probe00,w2v2_frozen,17700,0.6330838815789475,0.7566666666666667,0.4180790960451977,0.25,0.15306927398850925
loso_ibl,54238fd6_probe00,position+bandpower_full,17700,0.6596701388888889,0.8153672316384181,0.4180790960451977,0.25,0.11373023871241915
loso_ibl,54238fd6_probe00,position+w2v2_frozen,17700,0.6652824946657183,0.8084745762711865,0.4180790960451977,0.25,0.14477974727528495
loso_ibl,5dcee0eb_probe00,position,20100,0.8761904761904762,0.8706467661691543,0.36318407960199006,0.3333333333333333,0.06237487730373677
loso_ibl,5dcee0eb_probe00,bandpower_full,20100,0.473542726679713,0.4654228855721393,0.36318407960199006,0.3333333333333333,0.048233927794816486
loso_ibl,5dcee0eb_probe00,w2v2_frozen,20100,0.6639168634860653,0.6637313432835821,0.36318407960199006,0.3333333333333333,0.1898249731514474
loso_ibl,5dcee0eb_probe00,position+bandpower_full,20100,0.836365791663855,0.8291542288557214,0.36318407960199006,0.3333333333333333,0.0460947634397897
loso_ibl,5dcee0eb_probe00,position+w2v2_frozen,20100,0.8341750455496322,0.8370149253731344,0.36318407960199006,0.3333333333333333,0.09598820208332683
loso_ibl,d2832a38_probe00,position,18300,0.6697874493927125,0.8469945355191257,0.34972677595628415,0.25,0.05367663290009586
loso_ibl,d2832a38_probe00,bandpower_full,18300,0.4426231338562753,0.5051912568306011,0.34972677595628415,0.25,0.028719450568252328
loso_ibl,d2832a38_probe00,w2v2_frozen,18300,0.6459238360323887,0.8110928961748634,0.34972677595628415,0.25,0.09558777601333593
loso_ibl,d2832a38_probe00,position+bandpower_full,18300,0.6867349865047233,0.8671584699453552,0.34972677595628415,0.25,0.046416671988548264
loso_ibl,d2832a38_probe00,position+w2v2_frozen,18300,0.7072744285593792,0.894808743169399,0.34972677595628415,0.25,0.06865025872617574
cross_lab_allen_to_ibl,0802ced5_probe00,position,21500,0.25,0.4372093023255814,0.4372093023255814,0.25,0.3156092030304404
