dataset,freq_hz,psd
ibl,288.0027555552,4.53554636808129e-06
ibl,289.0027651231,4.381207857978603e-06
ibl,290.002774691,4.3208760108242075e-06
ibl,291.0027842589,4.131919449864371e-06
ibl,292.00279382680003,4.089315968693116e-06
ibl,293.00280339470004,4.0405148101174825e-06
ibl,294.00281296260005,3.855240341120013e-06
ibl,295.0028225305,3.888166152651632e-06
ibl,296.0028320984,3.8086941049948604e-06
ibl,297.0028416663,3.667497961247437e-06
ibl,298.0028512342,3.5974225117111613e-06
ibl,299.00286080210003,3.4672448592820474e-06
ibl,300.00287037000004,3.500386366044619e-06
ibl,301.0028799379,3.34682773256781e-06
ibl,302.0028895058,3.220457258959763e-06
ibl,303.0028990737,3.110793736270975e-06
ibl,304.0029086416,3.0528834205109316e-06
ibl,305.0029182095,2.9968177864182325e-06
ibl,306.00292777740003,2.9534755887123002e-06
ibl,307.00293734530004,2.912335989355835e-06
ibl,308.0029469132,2.7827879503602914e-06
ibl,309.0029564811,2.644087275912468e-06
ibl,310.002966049,2.6425590094078377e-06
ibl,311.0029756169,2.6130504766925277e-06
ibl,312.0029851848,2.612881023361612e-06
ibl,313.00299475270003,2.480473332917811e-06
ibl,314.00300432060004,2.4242302480621752e-06
ibl,315.0030138885,2.4143101158210797e-06
ibl,316.0030234564,2.3851796486173836e-06
ibl,317.0030330243,2.3142339052858002e-06
ibl,318.0030425922,2.222488943146161e-06
ibl,319.0030521601,2.1574788760577695e-06
ibl,320.00306172800003,2.0903603369986498e-06
ibl,321.00307129590004,2.0377102999838383e-06
ibl,322.0030808638,2.018661038787409e-06
ibl,323.0030904317,1.9392059698415822e-06
ibl,324.0030999996,1.875570417048301e-06
ibl,325.0031095675,1.8693999880768674e-06
ibl,326.0031191354,1.84985949285426e-06
ibl,327.00312870330004,1.8259272795840518e-06
ibl,328.00313827120004,1.7378029505626173e-06
ibl,329.0031478391,1.6472245403406074e-06
ibl,330.003157407,1.6220714647550614e-06
ibl,331.0031669749,1.6222781353966815e-06
ibl,332.0031765428,1.557381585030983e-06
ibl,333.0031861107,1.5237219018728861e-06
ibl,334.00319567860004,1.5065133185278787e-06
ibl,335.00320524650004,1.4244756332482504e-06
ibl,336.0032148144,1.3953549124632734e-06
ibl,337.0032243823,1.3890707613736926e-06
ibl,338.0032339502,1.3379525349921283e-06
ibl,339.0032435181,1.3192381961048634e-06
ibl,340.00325308600003,1.286345059220928e-06
ibl,341.00326265390004,1.2841592630660303e-06
ibl,342.00327222180005,1.2403379549021795e-06
ibl,343.0032817897,1.1849002461322573e-06
ibl,344.0032913576,1.154484863247899e-06
ibl,345.0033009255,1.1482851441504066e-06
ibl,346.0033104934,1.1217454835065252e-06
ibl,347.00332006130003,1.0760687337834976e-06
ibl,348.00332962920004,1.023597677201257e-06
ibl,349.00333919710005,1.0025480990140487e-06
ibl,350.003348765,9.89573073676342e-07
ibl,351.0033583329,9.823758412351743e-07
ibl,352.0033679008,9.71525366859772e-07
ibl,353.0033774687,9.399003325952363e-07
ibl,354.00338703660003,8.959379635325892e-07
ibl,355.00339660450004,8.609067865172748e-07
ibl,356.00340617240005,8.363196766820261e-07
ibl,357.0034157403,8.395997614626612e-07
ibl,358.0034253082,8.516336022149358e-07
ibl,359.0034348761,8.472462315592523e-07
ibl,360.003444444,8.067754161999423e-07
ibl,361.00345401190003,7.721550319189196e-07
ibl,362.00346357980004,7.640066640685756e-07
ibl,363.00347314770005,7.400126589057323e-07
ibl,364.0034827156,7.132771138911279e-07
ibl,365.0034922835,6.83247950810971e-07
ibl,366.0035018514,6.804074918968148e-07
ibl,367.0035114193,6.709705999042658e-07
ibl,368.00352098720003,6.459489788092517e-07
ibl,369.00353055510004,6.163300895858853e-07
ibl,370.00354012300005,6.223407104475815e-07
ibl,371.0035496909,6.203475514262184e-07
ibl,372.0035592588,6.14254630689415e-07
ibl,373.0035688267,5.984811108536922e-07
ibl,374.0035783946,5.71373939802279e-07
ibl,375.00358796250003,5.464699378365029e-07
ibl,376.00359753040004,5.494121170893302e-07
ibl,377.00360709830005,5.192394771387313e-07
ibl,378.0036166662,5.267105008100109e-07
ibl,379.0036262341,5.276908146553184e-07
ibl,380.003635802,5.0502856312617e-07
ibl,381.0036453699,4.955143349477552e-07
ibl,382.00365493780004,4.930820266305501e-07
ibl,383.00366450570004,4.838200726499598e-07
ibl,384.0036740736,4.6921827209856133e-07
ibl,385.0036836415,4.6993662504811414e-07
ibl,386.0036932094,4.588797879104575e-07
ibl,387.0037027773,4.383460519573186e-07
ibl,388.00371234520003,4.335531072858602e-07
ibl,389.00372191310004,4.171106128475372e-07
ibl,390.00373148100005,4.138756088898666e-07
ibl,391.0037410489,4.114831244444935e-07
ibl,392.0037506168,4.1132644006442715e-07
ibl,393.0037601847,4.097228023914353e-07
ibl,394.0037697526,3.97539870769942e-07
ibl,395.00377932050003,3.843668599874156e-07
ibl,396.00378888840004,3.698135676870562e-07
ibl,397.00379845630005,3.588217482096512e-07
ibl,398.0038080242,3.5923822845961555e-07
ibl,399.0038175921,3.586353149133615e-07
ibl,400.00382716,3.5742594753534315e-07
ibl,401.0038367279,3.396847524621738e-07
ibl,402.00384629580003,3.374232009227336e-07
ibl,403.00385586370004,3.3625426568840207e-07
ibl,404.00386543160005,3.2871264474370593e-07
ibl,405.0038749995,3.2838559894310333e-07
ibl,406.0038845674,3.169218524751229e-07
ibl,407.0038941353,3.163632525219097e-07
ibl,408.0039037032,3.0747461993135186e-07
ibl,409.00391327110003,3.0152693275791567e-07
ibl,410.00392283900004,2.9238830035831967e-07
ibl,411.00393240690005,2.794834523775649e-07
ibl,412.0039419748,2.829300263416755e-07
ibl,413.0039515427,2.8839192585141756e-07
ibl,414.0039611106,2.799023212949377e-07
ibl,415.0039706785,2.699793502841395e-07
ibl,416.00398024640003,2.709863678980028e-07
ibl,417.00398981430004,2.732750545002627e-07
ibl,418.00399938220005,2.6799532403224336e-07
ibl,419.0040089501,2.655947839059573e-07
ibl,420.004018518,2.6605311587747235e-07
ibl,421.0040280859,2.5923109370609034e-07
ibl,422.0040376538,2.4957590007522086e-07
ibl,423.00404722170003,2.4930042364268915e-07
ibl,424.00405678960004,2.4198143955707274e-07
ibl,425.00406635750005,2.397434095026789e-07
ibl,426.0040759254,2.409700640317485e-07
ibl,427.0040854933,2.3423858024264929e-07
ibl,428.0040950612,2.269817004729596e-07
ibl,429.0041046291,2.233202110890847e-07
ibl,430.00411419700004,2.2162451136123062e-07
ibl,431.00412376490004,2.244886090484004e-07
ibl,432.00413333280005,2.2204251278962587e-07
ibl,433.0041429007,2.1157844359130098e-07
ibl,434.0041524686,2.1089847641313714e-07
ibl,435.0041620365,2.123860602074979e-07
ibl,436.0041716044,2.0569202627993677e-07
ibl,437.00418117230004,2.0177158803180294e-07
ibl,438.00419074020004,1.9794590084147564e-07
