key,group,channel,depth_um,temporal,spatial,label
3638d102_probe01::237,3638d102_probe01,237,2380.0,0,0,0
3638d102_probe01::238,3638d102_probe01,238,2400.0,0,0,0
3638d102_probe01::239,3638d102_probe01,239,2400.0,0,0,0
3638d102_probe01::240,3638d102_probe01,240,2420.0,0,0,0
3638d102_probe01::241,3638d102_probe01,241,2420.0,0,0,0
3638d102_probe01::242,3638d102_probe01,242,2440.0,0,0,0
3638d102_probe01::243,3638d102_probe01,243,2440.0,0,0,0
3638d102_probe01::244,3638d102_probe01,244,2460.0,0,0,0
3638d102_probe01::245,3638d102_probe01,245,2460.0,0,0,0
3638d102_probe01::246,3638d102_probe01,246,2480.0,0,0,0
3638d102_probe01::247,3638d102_probe01,247,2480.0,0,0,0
3638d102_probe01::248,3638d102_probe01,248,2500.0,0,0,0
3638d102_probe01::249,3638d102_probe01,249,2500.0,0,0,0
3638d102_probe01::250,3638d102_probe01,250,2520.0,0,0,0
3638d102_probe01::251,3638d102_probe01,251,2520.0,0,0,0
3638d102_probe01::252,3638d102_probe01,252,2540.0,0,0,0
3638d102_probe01::253,3638d102_probe01,253,2540.0,0,0,0
3638d102_probe01::254,3638d102_probe01,254,2560.0,0,0,0
3638d102_probe01::255,3638d102_probe01,255,2560.0,0,0,0
3638d102_probe01::256,3638d102_probe01,256,2580.0,0,0,0
3638d102_probe01::257,3638d102_probe01,257,2580.0,0,0,0
3638d102_probe01::258,3638d102_probe01,258,2600.0,0,0,0
3638d102_probe01::259,3638d102_probe01,259,2600.0,0,0,0
3638d102_probe01::260,3638d102_probe01,260,2620.0,0,0,0
3638d102_probe01::261,3638d102_probe01,261,2620.0,0,0,0
3638d102_probe01::262,3638d102_probe01,262,2640.0,0,0,0
3638d102_probe01::263,3638d102_probe01,263,2640.0,0,0,0
3638d102_probe01::264,3638d102_probe01,264,2660.0,0,0,0
3638d102_probe01::265,3638d102_probe01,265,2660.0,0,0,0
3638d102_probe01::266,3638d102_probe01,266,2680.0,0,0,0
3638d102_probe01::267,3638d102_probe01,267,2680.0,0,0,0
3638d102_probe01::268,3638d102_probe01,268,2700.0,0,0,0
3638d102_probe01::269,3638d102_probe01,269,2700.0,4,0,0
3638d102_probe01::270,3638d102_probe01,270,2720.0,0,0,0
3638d102_probe01::271,3638d102_probe01,271,2720.0,0,0,0
3638d102_probe01::272,3638d102_probe01,272,2740.0,0,0,0
3638d102_probe01::273,3638d102_probe01,273,2740.0,0,0,0
3638d102_probe01::274,3638d102_probe01,274,2760.0,0,0,0
3638d102_probe01::275,3638d102_probe01,275,2760.0,0,0,0
3638d102_probe01::276,3638d102_probe01,276,2780.0,0,0,0
3638d102_probe01::277,3638d102_probe01,277,2780.0,0,0,0
3638d102_probe01::278,3638d102_probe01,278,2800.0,0,0,0
3638d102_probe01::279,3638d102_probe01,279,2800.0,0,0,0
3638d102_probe01::280,3638d102_probe01,280,2820.0,0,0,0
3638d102_probe01::281,3638d102_probe01,281,2820.0,0,0,0
3638d102_probe01::282,3638d102_probe01,282,2840.0,0,0,0
3638d102_probe01::283,3638d102_probe01,283,2840.0,0,0,0
3638d102_probe01::300,3638d102_probe01,300,3020.0,4,4,4
3638d102_probe01::301,3638d102_probe01,301,3020.0,4,4,4
3638d102_probe01::302,3638d102_probe01,302,3040.0,4,4,4
3638d102_probe01::303,3638d102_probe01,303,3040.0,0,4,4
3638d102_probe01::304,3638d102_probe01,304,3060.0,4,4,4
3638d102_probe01::305,3638d102_probe01,305,3060.0,4,4,4
3638d102_probe01::306,3638d102_probe01,306,3080.0,4,4,4
3638d102_probe01::307,3638d102_probe01,307,3080.0,4,4,4
3638d102_probe01::308,3638d102_probe01,308,3100.0,4,4,4
3638d102_probe01::309,3638d102_probe01,309,3100.0,4,4,4
3638d102_probe01::310,3638d102_probe01,310,3120.0,4,4,4
